问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,MahApps.Metro.IconPacks.Material 5.0.0,,,,,"MahApps.Metro.IconPacks.Material, 5.0.0  建议:  MahApps.Metro.IconPacks.Material, 4.11.0"
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,Microsoft.NETFramework.ReferenceAssemblies 1.0.3,,,,,"Microsoft.NETFramework.ReferenceAssemblies, 1.0.3  建议:  找不到受支持的版本"
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,Microsoft.VisualStudio.SDK 17.14.40265,,,,,"Microsoft.VisualStudio.SDK, 17.14.40265  建议:  Microsoft.VisualStudio.SDK, 16.0.208"
NuGet.0001,NuGet 包不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,Microsoft.VSSDK.BuildTools 17.14.2142,,,,,"Microsoft.VSSDK.BuildTools, 17.14.2142  建议:  Microsoft.VSSDK.BuildTools, 15.7.104"
NuGet.0003,框架引用中包含 NuGet 包功能,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,NETStandard.Library 2.0.3,,,,,"NETStandard.Library, 2.0.3  建议:  新框架引用随附的包功能"
Project.0002,需要更改项目的目标框架,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\DSH4VS.csproj,,,,,,,,当前目标框架: net472 建议的目标框架: net10.0-windows
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\GeneratedInternalTypeHelper.g.i.cs,56,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.AddEventHandler(System.Reflection.EventInfo,System.Object,System.Delegate)",,,,,"protected override void AddEventHandler(System.Reflection.EventInfo eventInfo, object target, System.Delegate handler)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\GeneratedInternalTypeHelper.g.i.cs,46,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.CreateDelegate(System.Type,System.Object,System.String)",,,,,"protected override System.Delegate CreateDelegate(System.Type delegateType, object target, string handler)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\GeneratedInternalTypeHelper.g.i.cs,39,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.SetPropertyValue(System.Reflection.PropertyInfo,System.Object,System.Object,System.Globalization.CultureInfo)",,,,,"protected override void SetPropertyValue(System.Reflection.PropertyInfo propertyInfo, object target, object value, System.Globalization.CultureInfo culture)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\GeneratedInternalTypeHelper.g.i.cs,32,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.GetPropertyValue(System.Reflection.PropertyInfo,System.Object,System.Globalization.CultureInfo)",,,,,"protected override object GetPropertyValue(System.Reflection.PropertyInfo propertyInfo, object target, System.Globalization.CultureInfo culture)"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\DSH4VS\DSH4VS.csproj,File,src\DSH4VS\obj\Debug\net472\GeneratedInternalTypeHelper.g.i.cs,24,8,"M:XamlGeneratedNamespace.GeneratedInternalTypeHelper.CreateInstance(System.Type,System.Globalization.CultureInfo)",,,,,"protected override object CreateInstance(System.Type type, System.Globalization.CultureInfo culture)"
